reviewid,orderid,productid,userid,rating,reviewtext,reviewdate
41773,19166,1476,5029,4,Works perfectly!,23/03/2025 11:17
41261,18927,467,7479,4,Customer service was helpful.,29/03/2024 9:25
34384,15787,1586,9141,5,Customer service was helpful.,16/04/2025 0:03
19332,8940,838,2356,3,Fast shipping and good packaging.,24/01/2024 7:27
26691,12284,1028,486,2,Color was different from images.,18/06/2024 19:51
10554,4856,1003,302,5,Item arrived damaged.,13/12/2024 15:23
3087,1403,1630,3747,2,Customer service was helpful.,6/06/2024 21:26
40887,18746,191,8763,5,Highly recommend this brand.,17/09/2025 18:55
35599,16346,1972,8365,1,"""Not as expected; quality is poor.""",14/09/2025 18:29
12196,5603,44,3386,3,Decent product for the price.,24/10/2024 19:09
370,165,1192,4253,3,Item arrived damaged.,21/11/2024 18:04
26216,12078,263,7031,5,"""Not as expected; quality is poor.""",26/02/2025 14:29
26978,12411,682,9637,4,"""Not as expected; quality is poor.""",4/11/2024 17:13
29146,13409,356,8357,2,Color was different from images.,7/08/2024 3:44
29954,13766,1683,4226,1,Works perfectly!,14/01/2024 8:58
18778,8675,1315,7541,3,Color was different from images.,3/07/2025 15:31
17244,7963,977,4737,5,Customer service was helpful.,11/09/2024 16:54
17445,8059,358,6097,1,Customer service was helpful.,29/01/2025 18:28
30340,13938,326,1153,3,Customer service was helpful.,15/04/2025 17:22
19823,9166,451,1631,5,Customer service was helpful.,8/07/2025 19:23
35828,16458,271,71,2,Value for money.,9/04/2024 2:09
30007,13790,1227,4272,5,Value for money.,16/12/2024 15:08
37466,17197,1899,2924,2,"""Not as expected; quality is poor.""",2/10/2024 11:30
29081,13379,1803,975,4,Customer service was helpful.,26/12/2024 3:04
5449,2487,946,2477,3,Decent product for the price.,10/04/2025 7:44
37571,17245,1288,7254,3,"""Not as expected; quality is poor.""",9/07/2024 0:40
2905,1332,1505,73,2,Decent product for the price.,6/11/2025 5:37
34475,15828,954,1220,4,Color was different from images.,10/07/2025 15:15
12890,5920,1483,5329,4,"""Not as expected; quality is poor.""",16/06/2024 11:54
18632,8605,926,2153,2,Decent product for the price.,11/02/2025 5:41
36303,16675,1971,7422,5,Color was different from images.,26/07/2024 2:53
19252,8901,858,1824,4,Color was different from images.,22/08/2025 19:58
23150,10680,1474,2601,2,Value for money.,13/09/2025 18:17
35013,16082,1141,1827,4,Decent product for the price.,1/03/2025 4:18
24872,11478,2,3563,2,"""Not as expected; quality is poor.""",28/07/2024 16:15
4746,2157,695,6813,4,Value for money.,7/10/2025 8:47
20980,9697,1841,7701,5,Value for money.,14/09/2025 21:32
16373,7560,1747,431,3,Customer service was helpful.,19/02/2024 21:33
36759,16866,990,792,4,Works perfectly!,17/01/2024 8:31
15397,7101,1818,1048,5,"""Excellent product; will buy again.""",22/04/2024 14:45
30271,13908,109,2999,2,Works perfectly!,16/12/2024 18:23
5116,2332,1004,8005,3,"""Not as expected; quality is poor.""",8/06/2025 4:36
30049,13810,242,3692,4,Fast shipping and good packaging.,19/09/2025 9:23
9383,4309,418,2682,5,Highly recommend this brand.,24/10/2025 11:22
8478,3877,715,3430,5,Works perfectly!,11/04/2024 3:05
32049,14717,326,503,3,Works perfectly!,6/11/2024 5:28
35000,16076,229,9108,4,"""Not as expected; quality is poor.""",9/07/2025 14:31
6898,3118,619,3782,2,Item arrived damaged.,15/07/2025 19:27
15639,7217,714,8215,4,Customer service was helpful.,14/03/2025 0:26
586,262,178,9315,5,Fast shipping and good packaging.,31/08/2025 16:10
17514,8091,589,9250,2,Item arrived damaged.,28/09/2024 17:19
5594,2547,223,3558,2,Decent product for the price.,15/01/2025 18:01
17959,8301,731,1404,4,Works perfectly!,27/08/2025 0:31
36082,16571,575,9493,2,Works perfectly!,18/04/2025 3:43
18183,8401,21,785,2,Decent product for the price.,13/05/2025 12:29
16290,7523,36,1613,2,Decent product for the price.,14/05/2024 14:48
38111,17478,766,146,3,Customer service was helpful.,26/02/2025 0:26
198,79,238,8184,3,Item arrived damaged.,13/04/2024 11:34
23385,10790,1740,5556,2,Item arrived damaged.,19/01/2025 19:38
31310,14377,1066,5908,3,Fast shipping and good packaging.,24/09/2025 5:49
7023,3182,1425,682,2,Decent product for the price.,11/06/2024 21:59
33755,15503,760,3554,5,"""Excellent product; will buy again.""",15/10/2025 15:25
22997,10613,1279,7235,2,"""Excellent product; will buy again.""",11/04/2025 5:21
33295,15290,1984,514,3,Item arrived damaged.,14/09/2024 22:57
6318,2857,1910,3068,5,Fast shipping and good packaging.,1/09/2025 1:14
25123,11600,1283,6862,5,Works perfectly!,24/04/2024 14:01
28625,13171,229,5729,3,Customer service was helpful.,1/10/2024 15:48
4594,2092,1712,8579,3,Decent product for the price.,23/08/2025 4:01
36883,16925,1952,1703,3,"""Excellent product; will buy again.""",15/03/2024 13:55
40248,18453,513,4204,4,Customer service was helpful.,14/08/2024 0:46
17098,7899,790,3812,3,"""Excellent product; will buy again.""",2/04/2025 2:11
14935,6877,1259,2066,5,Item arrived damaged.,19/01/2024 8:51
16806,7761,1266,7302,5,Color was different from images.,13/06/2024 9:57
1249,557,1141,104,2,Customer service was helpful.,29/07/2025 22:08
7701,3511,600,1011,4,"""Excellent product; will buy again.""",12/04/2024 14:28
37131,17041,630,9376,3,Item arrived damaged.,11/08/2025 8:52
27363,12582,1440,7987,5,Highly recommend this brand.,10/06/2025 20:49
29758,13679,1490,6235,3,Fast shipping and good packaging.,6/09/2025 14:27
13083,6009,837,6789,3,Fast shipping and good packaging.,22/05/2024 4:05
21055,9726,96,8320,5,Highly recommend this brand.,28/05/2025 17:24
29894,13737,239,6831,4,Fast shipping and good packaging.,7/01/2024 9:00
24905,11496,1390,6088,3,Decent product for the price.,30/01/2025 0:45
38011,17433,1398,5622,3,Item arrived damaged.,30/03/2025 21:31
10172,4674,1040,9221,3,Works perfectly!,22/11/2024 3:45
18356,8480,1059,3286,4,Highly recommend this brand.,15/07/2025 14:07
21215,9805,13,1673,4,"""Excellent product; will buy again.""",14/08/2024 15:25
1544,696,457,7447,4,"""Not as expected; quality is poor.""",5/08/2024 3:07
32873,15091,829,513,4,Decent product for the price.,16/02/2024 23:25
27534,12659,992,639,2,"""Excellent product; will buy again.""",20/10/2025 1:40
12922,5936,1588,7957,3,Item arrived damaged.,7/04/2025 1:10
5996,2715,697,9395,2,Fast shipping and good packaging.,22/02/2025 18:24
34188,15695,1235,3889,3,Color was different from images.,18/07/2024 9:23
16281,7520,1233,1041,5,Customer service was helpful.,19/07/2025 19:54
12572,5775,545,9276,3,Color was different from images.,4/10/2024 7:08
26157,12048,1057,7173,5,Works perfectly!,11/10/2024 17:30
19802,9155,1386,6576,5,Customer service was helpful.,2/07/2025 4:18
36604,16798,1160,8109,4,Highly recommend this brand.,3/06/2024 5:11
11579,5328,1356,2333,2,Color was different from images.,16/09/2025 21:55
37782,17333,1428,2496,1,Works perfectly!,27/08/2025 3:56
36187,16618,1909,1099,3,Works perfectly!,23/01/2024 1:25
32165,14770,310,1322,5,"""Excellent product; will buy again.""",5/04/2024 16:15
36808,16891,1844,1189,3,Value for money.,28/05/2024 22:25
37730,17311,1228,7246,5,Decent product for the price.,26/09/2025 8:36
37668,17286,1379,1133,5,Value for money.,28/04/2024 11:09
18951,8748,1459,3746,4,Item arrived damaged.,16/09/2025 1:02
31077,14274,1893,1939,5,"""Not as expected; quality is poor.""",28/08/2024 19:50
3321,1504,862,264,2,Customer service was helpful.,28/10/2025 16:30
22026,10169,1502,5272,2,Value for money.,28/06/2024 7:57
691,306,99,2575,5,Customer service was helpful.,22/04/2024 6:06
17782,8216,1624,7226,3,Value for money.,30/11/2024 9:36
33149,15228,1553,4926,4,Color was different from images.,22/09/2025 1:43
23086,10652,278,2086,5,Highly recommend this brand.,5/04/2025 22:39
33654,15456,1768,9653,1,Customer service was helpful.,5/09/2024 19:06
10504,4836,853,2071,4,"""Excellent product; will buy again.""",16/04/2025 22:11
5091,2319,1123,3289,3,"""Excellent product; will buy again.""",17/06/2024 8:28
17973,8310,828,7690,5,Value for money.,27/12/2024 22:12
13057,5999,717,6280,5,Item arrived damaged.,1/05/2025 17:07
10776,4961,739,5155,4,Customer service was helpful.,6/12/2024 1:27
21360,9873,1705,7610,5,Works perfectly!,1/04/2025 13:12
28304,13015,516,220,3,Item arrived damaged.,27/09/2024 11:30
32115,14746,463,550,4,Fast shipping and good packaging.,3/11/2024 18:45
17599,8129,1268,271,4,Item arrived damaged.,14/08/2024 21:21
14145,6512,469,7558,4,"""Excellent product; will buy again.""",16/09/2025 20:51
22202,10259,1510,7909,4,Works perfectly!,22/01/2025 19:50
14438,6651,427,7978,4,Item arrived damaged.,8/08/2025 12:58
35343,16229,1407,1920,5,Works perfectly!,26/08/2024 11:59
27278,12545,308,1769,5,Color was different from images.,1/05/2025 14:42
9881,4533,1441,3,4,Decent product for the price.,31/07/2025 21:29
27711,12743,1478,9476,5,Value for money.,29/10/2024 4:40
39295,18022,1549,2248,5,Works perfectly!,30/01/2024 11:42
1053,473,179,9281,4,Customer service was helpful.,30/08/2025 18:17
340,154,906,7064,3,Highly recommend this brand.,13/08/2024 2:07
29457,13539,138,8642,3,"""Not as expected; quality is poor.""",25/03/2024 7:39
2474,1139,268,7628,3,"""Excellent product; will buy again.""",3/11/2025 13:13
9742,4481,92,6763,4,Decent product for the price.,11/06/2025 4:09
29147,13409,1228,8357,3,Works perfectly!,14/07/2025 15:29
18934,8740,863,1881,5,Highly recommend this brand.,16/08/2024 2:51
21919,10125,525,8134,3,Decent product for the price.,9/09/2025 23:45
38274,17545,807,8870,3,Color was different from images.,5/06/2025 18:06
7326,3331,1579,4894,5,Decent product for the price.,15/06/2025 16:36
26245,12088,1957,5755,4,Value for money.,1/08/2025 12:09
41688,19125,465,5096,3,Item arrived damaged.,23/10/2024 20:32
9665,4449,1408,219,4,Color was different from images.,9/05/2025 22:50
26315,12125,507,9282,4,Color was different from images.,2/06/2025 6:16
11891,5467,1402,8136,3,Item arrived damaged.,22/06/2024 23:29
27333,12567,165,1136,2,Item arrived damaged.,2/07/2024 19:09
2673,1229,457,3629,3,Fast shipping and good packaging.,13/08/2024 6:33
21974,10147,942,8134,4,Fast shipping and good packaging.,15/10/2024 22:03
35912,16496,1720,5324,5,Item arrived damaged.,8/08/2024 12:47
34118,15664,448,8710,5,Item arrived damaged.,10/04/2025 21:45
11199,5159,512,5136,4,"""Excellent product; will buy again.""",8/07/2025 5:52
43057,19798,486,7685,3,Fast shipping and good packaging.,5/04/2025 17:33
33317,15299,496,9183,3,Color was different from images.,15/07/2024 5:38
36690,16833,1745,6865,3,Customer service was helpful.,13/06/2025 15:34
1977,913,35,8042,4,Works perfectly!,9/02/2024 11:11
13015,5981,414,7325,4,Customer service was helpful.,16/04/2024 0:26
354,162,1900,3794,4,Highly recommend this brand.,6/12/2024 23:59
29845,13715,1982,4833,4,"""Not as expected; quality is poor.""",11/02/2025 20:43
13071,6003,183,3488,4,Highly recommend this brand.,14/09/2024 21:02
31665,14536,290,1517,3,Decent product for the price.,21/01/2025 15:50
20275,9370,404,9203,3,Decent product for the price.,27/11/2024 11:34
37644,17274,849,6048,5,Color was different from images.,9/09/2025 13:21
6027,2727,470,1850,5,Works perfectly!,25/02/2025 9:10
37945,17405,433,3380,3,Value for money.,9/08/2025 16:24
1346,610,1639,4407,4,Item arrived damaged.,6/07/2024 0:36
9647,4442,1791,2268,2,"""Not as expected; quality is poor.""",21/04/2025 4:42
1511,680,1362,5814,4,Item arrived damaged.,22/06/2024 13:25
41564,19065,991,6541,3,Highly recommend this brand.,30/10/2025 23:16
23856,11011,1221,6319,3,Customer service was helpful.,13/08/2024 17:20
13224,6080,100,8771,5,Fast shipping and good packaging.,25/07/2024 21:08
42509,19527,1522,3677,3,Item arrived damaged.,26/04/2024 21:25
33709,15482,911,5792,4,Item arrived damaged.,29/04/2024 17:06
42886,19713,472,3277,3,Color was different from images.,15/05/2024 19:01
29511,13563,1542,3506,4,Decent product for the price.,28/03/2024 20:12
2170,1001,321,6103,4,"""Excellent product; will buy again.""",25/07/2024 11:07
9663,4448,969,40,4,Value for money.,17/02/2024 6:13
8879,4064,233,640,1,Value for money.,2/02/2024 6:19
5944,2695,1848,957,4,Decent product for the price.,18/02/2024 9:12
13877,6383,930,4053,1,"""Excellent product; will buy again.""",24/01/2024 2:58
40093,18382,784,9680,4,Item arrived damaged.,2/02/2025 2:58
17623,8139,473,7854,4,Item arrived damaged.,7/04/2025 6:37
8204,3752,1881,6974,4,Works perfectly!,6/04/2025 8:51
26693,12284,1699,486,4,"""Not as expected; quality is poor.""",28/07/2025 13:17
8971,4106,296,4288,4,Customer service was helpful.,3/07/2025 21:08
26531,12222,929,7882,4,Value for money.,29/09/2025 3:25
19876,9194,1031,6602,4,Decent product for the price.,25/09/2025 19:25
15919,7349,396,9293,4,Item arrived damaged.,23/03/2025 0:22
22277,10295,1870,1885,3,Fast shipping and good packaging.,31/10/2024 15:10
4222,1927,1754,8188,4,Color was different from images.,5/12/2024 21:27
42598,19569,211,3554,4,"""Excellent product; will buy again.""",28/06/2025 2:25
14554,6706,347,7163,5,Highly recommend this brand.,7/06/2024 5:02
14594,6723,606,5738,5,Highly recommend this brand.,25/01/2024 8:38
21005,9704,191,1256,1,Decent product for the price.,25/05/2025 3:00
20047,9263,541,5518,2,Works perfectly!,2/01/2025 20:09
39974,18334,1048,9689,1,Works perfectly!,5/10/2024 2:27
15873,7326,632,6663,3,"""Not as expected; quality is poor.""",31/03/2024 6:36
2040,939,343,4928,4,Color was different from images.,16/02/2024 11:54
33080,15192,1954,2199,4,"""Not as expected; quality is poor.""",25/03/2025 19:45
28480,13100,1975,5113,5,Works perfectly!,13/11/2024 9:23
10454,4814,295,5711,5,"""Excellent product; will buy again.""",24/02/2025 23:51
26551,12231,1940,7530,3,"""Not as expected; quality is poor.""",8/01/2025 4:38
34085,15645,197,2870,4,Color was different from images.,18/06/2025 2:00
5207,2367,723,1833,4,Item arrived damaged.,25/02/2025 16:54
35659,16374,18,5486,4,Works perfectly!,7/04/2024 2:08
14600,6725,86,2422,3,Item arrived damaged.,21/02/2024 5:57
5935,2691,1223,9555,3,Item arrived damaged.,18/05/2024 8:54
12979,5961,239,1672,5,Fast shipping and good packaging.,19/03/2024 15:15
40140,18404,1863,7838,4,"""Not as expected; quality is poor.""",9/12/2024 13:21
25671,11838,1412,4876,4,Highly recommend this brand.,24/02/2024 17:33
43408,19953,1743,2289,5,Item arrived damaged.,5/10/2025 21:11
8291,3794,970,5073,3,Customer service was helpful.,22/11/2024 5:38
20840,9630,1257,1854,5,Value for money.,22/07/2024 3:07
20541,9497,691,4677,2,Value for money.,19/01/2025 13:28
31125,14299,540,3731,3,Works perfectly!,12/02/2025 18:37
15544,7175,1391,5816,3,Item arrived damaged.,24/02/2024 20:06
10257,4721,445,1897,3,Item arrived damaged.,18/07/2024 3:10
8412,3848,928,6764,5,Decent product for the price.,28/03/2025 17:45
26583,12245,1636,368,5,Item arrived damaged.,28/08/2024 21:25
11876,5458,1096,7443,3,Decent product for the price.,22/09/2025 23:05
32227,14803,1052,7362,4,Item arrived damaged.,17/12/2024 5:59
35554,16328,92,2646,5,"""Excellent product; will buy again.""",5/07/2025 12:08
42075,19313,1952,4023,2,Fast shipping and good packaging.,4/01/2024 2:11
12583,5780,5,4735,3,"""Excellent product; will buy again.""",29/09/2024 18:34
15801,7296,1116,8459,2,"""Excellent product; will buy again.""",23/02/2025 18:27
10602,4878,1561,3598,4,Color was different from images.,12/06/2024 4:07
9441,4335,1870,5420,4,Value for money.,6/04/2024 3:47
14891,6857,490,6589,4,Customer service was helpful.,1/06/2025 15:10
27102,12460,447,8099,5,Highly recommend this brand.,6/07/2024 7:03
14811,6821,1387,9904,4,Works perfectly!,27/01/2025 7:47
40663,18641,1618,4925,1,Customer service was helpful.,7/04/2025 8:05
12351,5672,1854,3939,4,"""Not as expected; quality is poor.""",30/09/2025 9:26
16574,7658,1964,6854,2,Fast shipping and good packaging.,25/10/2025 22:36
15795,7293,588,4903,4,Works perfectly!,10/09/2024 13:20
123,50,412,8607,2,Fast shipping and good packaging.,26/09/2025 11:00
34529,15848,998,9929,3,Decent product for the price.,22/10/2024 12:33
40024,18356,263,9645,5,Color was different from images.,26/04/2025 13:50
33180,15242,1053,6045,4,Highly recommend this brand.,3/10/2025 8:36
21566,9961,599,878,3,Item arrived damaged.,5/02/2025 12:38
31137,14304,872,1540,4,Decent product for the price.,22/07/2025 2:05
20146,9308,1677,2286,5,Item arrived damaged.,10/10/2025 18:58
16644,7685,931,3365,4,Color was different from images.,18/02/2024 6:45
532,240,1837,5718,3,Fast shipping and good packaging.,8/03/2025 3:38
18489,8537,95,7197,3,Highly recommend this brand.,3/09/2025 13:34
1711,779,833,9890,5,Color was different from images.,13/05/2025 14:50
23884,11025,289,2027,5,"""Excellent product; will buy again.""",8/02/2025 19:16
13590,6254,677,307,5,Fast shipping and good packaging.,27/07/2024 17:27
40144,18406,760,3496,2,Color was different from images.,5/01/2024 8:44
20555,9503,373,6696,4,Fast shipping and good packaging.,7/05/2024 11:11
16031,7404,347,3024,3,Decent product for the price.,17/04/2024 15:55
29395,13510,881,4988,3,Color was different from images.,25/06/2025 6:47
38071,17459,1428,7897,2,Works perfectly!,1/08/2025 21:29
20172,9320,1003,6729,1,Customer service was helpful.,25/10/2025 23:01
34038,15625,50,4404,1,Customer service was helpful.,27/09/2024 6:30
17766,8208,1874,4706,4,"""Excellent product; will buy again.""",6/10/2025 4:38
31064,14268,1199,3250,3,Highly recommend this brand.,5/08/2025 3:27
33279,15282,1399,8037,3,Color was different from images.,11/01/2025 18:01
38366,17587,222,8637,4,Fast shipping and good packaging.,2/03/2025 5:55
33534,15404,1227,3342,5,Item arrived damaged.,18/06/2024 6:57
41136,18866,1700,5505,4,Item arrived damaged.,30/08/2025 8:41
33624,15445,996,153,3,Decent product for the price.,16/05/2024 2:15
18057,8352,1020,5999,3,Value for money.,7/11/2024 16:53
12898,5924,1975,3651,2,"""Not as expected; quality is poor.""",18/06/2024 1:30
32536,14938,115,6166,2,Fast shipping and good packaging.,27/10/2024 23:32
33595,15434,1406,5499,1,Works perfectly!,19/06/2024 23:47
8776,4017,1013,1676,4,"""Excellent product; will buy again.""",31/12/2024 15:22
3758,1699,1638,6319,5,"""Excellent product; will buy again.""",8/07/2025 1:25
38126,17485,1562,1757,5,Item arrived damaged.,16/06/2024 11:06
30865,14177,1100,5783,5,Decent product for the price.,18/08/2024 1:50
24734,11406,1679,3661,2,Value for money.,31/01/2025 19:59
1454,655,1184,3680,3,Customer service was helpful.,9/10/2025 17:16
5595,2547,929,3558,5,Decent product for the price.,19/08/2025 2:46
34644,15906,1263,2400,5,Works perfectly!,20/07/2024 16:48
12694,5828,585,3140,4,"""Excellent product; will buy again.""",26/05/2024 2:59
6686,3029,62,4446,3,"""Excellent product; will buy again.""",30/12/2024 20:49
17135,7915,1709,5694,2,Works perfectly!,11/04/2025 16:30
37701,17301,1079,1309,1,"""Excellent product; will buy again.""",18/08/2025 17:22
5949,2697,1903,6477,4,"""Excellent product; will buy again.""",14/10/2024 0:47
33874,15557,575,2747,4,Color was different from images.,10/06/2024 9:35
28804,13249,1727,2657,4,Value for money.,14/11/2024 1:31
5141,2342,527,3640,2,Customer service was helpful.,9/06/2025 10:08
5741,2607,534,707,3,Works perfectly!,4/06/2025 2:41
32612,14972,1759,7815,3,Customer service was helpful.,11/06/2025 7:00
4297,1966,1949,5203,4,Value for money.,17/06/2024 1:08
18810,8688,992,8794,3,Fast shipping and good packaging.,2/09/2025 21:54
13108,6020,555,5549,4,Highly recommend this brand.,28/09/2025 8:33
16246,7508,1237,1415,5,Fast shipping and good packaging.,25/05/2025 17:40
10555,4857,478,7131,2,Decent product for the price.,28/03/2025 1:08
25106,11590,1166,343,3,"""Not as expected; quality is poor.""",22/05/2025 12:29
29636,13617,1360,1158,5,Highly recommend this brand.,5/08/2025 19:47
19191,8869,1665,2321,4,Fast shipping and good packaging.,17/04/2025 9:54
25332,11688,922,8813,1,Decent product for the price.,9/12/2024 23:40
7621,3471,6,7607,5,Value for money.,8/12/2024 19:53
28716,13211,452,2073,2,Value for money.,6/02/2024 22:03
11387,5242,1430,4324,4,Item arrived damaged.,2/09/2024 20:02
25351,11697,1714,6385,4,"""Not as expected; quality is poor.""",12/04/2024 14:40
15583,7194,89,164,4,Customer service was helpful.,1/10/2024 7:03
10012,4594,1373,8706,5,"""Excellent product; will buy again.""",11/08/2024 11:45
38521,17656,1298,8292,2,"""Excellent product; will buy again.""",10/04/2025 14:55
3225,1458,1822,3979,3,"""Not as expected; quality is poor.""",12/07/2024 23:15
22427,10355,1775,2910,4,Value for money.,2/02/2024 0:34
33283,15284,952,2870,5,"""Not as expected; quality is poor.""",5/02/2024 6:31
42943,19741,185,4768,4,Highly recommend this brand.,16/08/2024 11:15
23022,10623,658,2704,3,"""Excellent product; will buy again.""",25/02/2024 5:04
11520,5302,884,7259,3,Color was different from images.,31/10/2024 9:36
31966,14683,877,3102,5,Fast shipping and good packaging.,21/09/2024 13:29
9861,4525,1275,3439,5,Highly recommend this brand.,18/07/2024 21:55
40326,18488,1149,6827,4,Customer service was helpful.,5/08/2024 13:14
1366,618,346,9283,3,Fast shipping and good packaging.,25/05/2024 14:27
24278,11204,1556,846,4,Color was different from images.,14/07/2025 19:57
32561,14947,1326,1606,4,Item arrived damaged.,9/02/2024 5:14
14183,6529,348,8841,3,Decent product for the price.,4/11/2025 9:27
32915,15110,815,9247,5,Color was different from images.,30/01/2025 5:41
2915,1335,1983,6594,3,"""Excellent product; will buy again.""",22/09/2025 0:52
18135,8384,762,4083,4,Works perfectly!,5/03/2024 23:40
33636,15450,766,7794,3,Decent product for the price.,22/10/2024 3:28
1665,760,1847,7015,3,Color was different from images.,26/06/2025 14:50
18503,8541,1249,3197,3,Value for money.,8/05/2025 1:13
17480,8074,290,7638,4,"""Not as expected; quality is poor.""",3/10/2024 7:40
16703,7716,653,721,2,"""Excellent product; will buy again.""",4/03/2024 11:50
454,204,1195,4810,3,Decent product for the price.,7/02/2024 3:24
30557,14038,358,5173,2,Color was different from images.,30/08/2025 20:08
20267,9366,86,684,5,Fast shipping and good packaging.,4/11/2025 7:31
21986,10152,841,774,3,Fast shipping and good packaging.,21/05/2024 6:22
30736,14114,1605,3900,3,Item arrived damaged.,30/07/2025 18:47
33212,15254,890,9793,2,Customer service was helpful.,8/08/2025 19:37
8625,3948,85,8449,4,Decent product for the price.,18/03/2025 20:21
42948,19744,120,9334,3,Value for money.,24/09/2025 7:29
38646,17708,1415,6171,2,"""Excellent product; will buy again.""",10/11/2024 19:33
36868,16921,1030,3475,5,Decent product for the price.,26/08/2024 17:17
16820,7769,24,1932,3,"""Not as expected; quality is poor.""",4/01/2025 7:10
42041,19296,363,2356,5,"""Not as expected; quality is poor.""",24/05/2025 8:03
39938,18320,1976,6911,2,Fast shipping and good packaging.,27/01/2024 21:47
18036,8342,88,2773,5,Value for money.,28/08/2024 7:55
29191,13429,142,3744,4,Decent product for the price.,28/10/2025 3:11
29484,13552,435,717,4,Value for money.,7/05/2024 15:06
31302,14373,605,1923,5,"""Excellent product; will buy again.""",17/04/2025 4:38
35821,16453,203,1352,4,"""Excellent product; will buy again.""",8/03/2024 10:31
24624,11364,827,7992,3,Customer service was helpful.,28/12/2024 17:30
13523,6224,1411,3385,4,Customer service was helpful.,8/11/2024 9:57
18024,8334,1406,4210,4,Fast shipping and good packaging.,10/02/2024 18:25
4160,1897,1670,2856,3,"""Excellent product; will buy again.""",17/12/2024 19:47
31986,14690,212,2374,5,Customer service was helpful.,22/11/2024 6:33
38759,17763,1276,2442,4,Fast shipping and good packaging.,9/09/2024 18:02
37854,17362,1348,2013,5,Highly recommend this brand.,25/10/2025 5:14
11087,5102,442,3873,2,"""Excellent product; will buy again.""",11/09/2025 3:25
23934,11044,1789,4232,4,Color was different from images.,4/07/2025 2:20
2053,944,1800,7233,4,Works perfectly!,22/02/2025 18:53
41447,19012,435,4477,3,Works perfectly!,6/01/2025 12:03
29471,13546,1106,5987,3,Color was different from images.,18/08/2025 0:59
32936,15120,1629,4002,4,"""Not as expected; quality is poor.""",8/08/2024 8:42
7628,3475,475,2660,2,Color was different from images.,18/06/2024 5:28
34244,15717,1375,4637,2,Color was different from images.,23/09/2025 19:46
12750,5855,154,7388,4,"""Not as expected; quality is poor.""",13/11/2025 12:29
25878,11933,1178,7295,4,"""Excellent product; will buy again.""",17/02/2025 4:44
3689,1668,1271,1568,2,Highly recommend this brand.,7/05/2024 18:17
26908,12374,211,1774,3,Item arrived damaged.,16/07/2025 16:32
23434,10811,803,55,4,Fast shipping and good packaging.,1/06/2025 9:51
27901,12830,212,633,4,"""Excellent product; will buy again.""",10/10/2024 0:58
36917,16938,1018,9864,3,Item arrived damaged.,2/02/2024 9:36
24261,11194,172,2951,4,Works perfectly!,12/01/2024 7:02
3848,1745,1738,7112,5,Color was different from images.,12/05/2025 14:14
16606,7668,320,176,4,Fast shipping and good packaging.,17/04/2024 19:09
20452,9453,1192,5284,4,Item arrived damaged.,30/10/2024 10:56
10604,4879,1135,6078,5,Works perfectly!,23/01/2025 2:17
16154,7468,1667,9486,1,Customer service was helpful.,21/05/2024 12:38
33298,15291,382,4256,4,Value for money.,18/10/2024 21:45
23585,10878,188,4043,2,Works perfectly!,3/05/2024 2:36
2800,1284,1515,2502,3,Value for money.,23/06/2024 3:24
27343,12572,1345,8059,5,Decent product for the price.,21/06/2025 5:23
26848,12351,472,8189,5,Color was different from images.,16/01/2025 15:21
37917,17395,77,3712,3,Decent product for the price.,14/07/2025 5:07
16932,7820,1841,1383,4,Highly recommend this brand.,7/02/2024 4:56
202,81,1140,280,4,Color was different from images.,9/03/2025 15:36
25333,11689,485,7557,5,Decent product for the price.,24/10/2024 5:36
320,143,609,22,5,Fast shipping and good packaging.,26/01/2025 2:59
25514,11774,593,3987,5,"""Excellent product; will buy again.""",22/02/2025 11:46
38142,17492,1684,6026,4,"""Excellent product; will buy again.""",1/10/2024 8:12
33932,15579,1591,25,4,Color was different from images.,5/09/2024 2:49
43208,19868,1801,1489,3,Highly recommend this brand.,20/12/2024 6:51
11741,5405,716,9696,3,Highly recommend this brand.,21/10/2024 19:56
21636,9987,596,5488,5,"""Not as expected; quality is poor.""",12/09/2024 23:43
20231,9347,197,9439,4,"""Excellent product; will buy again.""",10/10/2025 23:12
34360,15776,1039,6873,5,"""Excellent product; will buy again.""",1/08/2025 3:41
40731,18672,666,9077,1,"""Excellent product; will buy again.""",27/02/2024 1:03
107,40,1791,2158,4,Color was different from images.,24/07/2024 16:33
28162,12957,969,9176,4,Value for money.,4/02/2025 18:46
12482,5732,1971,8499,2,"""Not as expected; quality is poor.""",4/12/2024 1:03
22965,10596,407,7386,3,Color was different from images.,21/10/2024 6:44
27213,12516,128,4335,4,Fast shipping and good packaging.,17/09/2024 23:48
39374,18055,1851,1479,3,Fast shipping and good packaging.,26/06/2024 22:25
1538,693,1467,4761,5,Item arrived damaged.,11/10/2024 11:33
41893,19222,996,1356,4,"""Not as expected; quality is poor.""",26/01/2025 23:35
31161,14317,745,3780,3,"""Not as expected; quality is poor.""",11/10/2024 0:05
35080,16112,673,7312,5,Item arrived damaged.,1/10/2025 18:12
34896,16019,1828,3507,2,Decent product for the price.,13/11/2024 20:40
24799,11441,851,4363,4,"""Excellent product; will buy again.""",21/01/2025 8:58
38679,17722,1927,9969,3,Value for money.,4/06/2024 20:58
22649,10458,1524,536,4,"""Not as expected; quality is poor.""",3/04/2025 21:27
23998,11073,979,3360,5,Item arrived damaged.,11/06/2025 3:46
791,353,626,7561,3,Decent product for the price.,2/06/2024 18:04
