orderid,userid,orderdate,orderstatus,orderamount
7449,4201,29/12/2024,cancelled,69.5
19539,6103,21/08/2025,cancelled,357.8
8968,5784,30/04/2025,cancelled,82.05
3986,1537,24/02/2024,processing,196.12
4204,5807,18/05/2024,shipped,1098.23
12101,5601,15/09/2024,processing,223.62
538,9184,16/04/2024,returned,164.31
11484,9591,8/04/2024,shipped,226.24
2176,4802,9/04/2025,completed,283.47
10052,5243,29/08/2025,processing,40.71
7178,9691,15/06/2024,cancelled,105.34
15597,2760,16/04/2025,processing,1387.39
1477,7558,9/01/2024,returned,232.38
64,6235,7/09/2025,cancelled,1269.08
13495,1892,20/07/2024,cancelled,2158.15
3440,9220,2/09/2025,returned,120.05
8592,1571,10/08/2025,shipped,104.27
12170,4980,19/05/2025,cancelled,157.95
9150,7096,19/02/2025,completed,699.13
10122,2993,27/12/2024,processing,501.29
16638,7110,7/03/2024,completed,101.57
3346,8977,30/03/2024,shipped,84.37
4514,5389,27/05/2024,completed,1849.04
2367,1833,26/01/2025,returned,1258.37
13613,5527,6/05/2025,returned,292.26
9306,7688,3/04/2025,shipped,44.71
15892,652,15/07/2024,shipped,394.14
9190,2925,30/07/2025,completed,155.1
9356,5208,5/09/2024,completed,94.71
18116,3077,3/05/2024,completed,2838.11
4838,1151,23/11/2024,cancelled,259.69
9311,6249,24/01/2025,shipped,680.28
13415,7039,9/06/2025,shipped,318.6
11766,773,9/08/2024,completed,1944.31
13202,6203,24/03/2024,cancelled,564.72
9776,9193,28/05/2025,completed,113.67
4264,329,16/11/2024,cancelled,41.49
2595,8322,16/03/2025,returned,27.24
10240,3347,3/06/2025,returned,519.75
5625,2367,30/01/2025,cancelled,243.04
18632,6011,5/08/2025,shipped,46.12
3090,577,18/01/2024,cancelled,300.24
16924,1188,11/07/2025,cancelled,1694.78
14552,8617,3/07/2024,shipped,259.77
3275,9497,8/02/2024,completed,254.74
9286,5992,12/11/2025,returned,22.53
13474,9230,4/01/2025,processing,1763.77
17180,7981,4/09/2024,returned,77.08
9221,5800,2/06/2025,shipped,319.97
14301,5362,22/09/2025,completed,457.27
19343,8878,18/07/2024,processing,86.45
19667,7042,11/03/2025,returned,465.4
16784,7330,15/03/2025,processing,1817.68
19762,7923,25/01/2025,returned,58.46
14400,8275,1/01/2024,cancelled,805.16
7442,8396,14/03/2025,processing,90.04
5516,4031,12/03/2025,returned,461.02
4169,8474,16/09/2024,cancelled,177.35
9227,4386,20/05/2024,cancelled,42.57
15497,2920,21/07/2025,shipped,1062.28
227,2657,2/02/2024,cancelled,119.12
17491,6921,11/03/2024,completed,320.65
13029,4360,20/01/2024,processing,31.04
4286,3987,24/03/2024,shipped,175.47
6178,5656,9/05/2025,cancelled,29.68
9541,6249,26/02/2024,processing,136.91
1082,251,25/06/2024,processing,451.74
16696,2441,31/01/2024,processing,53.19
5038,2021,9/04/2025,shipped,284.54
8040,5894,23/02/2025,cancelled,115.81
9136,7283,3/02/2024,completed,11.83
11758,2198,9/11/2025,cancelled,3261.32
3235,4456,1/06/2025,processing,172.9
4597,7046,14/04/2024,processing,38.7
8407,4861,8/07/2024,processing,145.87
19073,1959,14/11/2024,processing,242.12
1893,8012,21/06/2024,shipped,811.5
14884,9681,22/08/2024,cancelled,225
761,2209,13/08/2025,returned,207.98
8253,7816,29/05/2024,cancelled,245.45
17699,4536,31/01/2025,shipped,234.18
3655,5386,29/06/2024,completed,168.14
19719,888,28/03/2024,cancelled,1369.63
13805,411,15/03/2024,processing,315.57
5706,1361,11/08/2025,processing,220.75
8025,9350,30/05/2024,completed,513.36
2202,2821,6/07/2024,completed,47.96
12998,3817,6/10/2025,returned,279.09
3362,1691,21/07/2024,returned,1587.18
12104,4419,9/12/2024,processing,294.35
844,2322,12/05/2024,shipped,687.51
2228,4064,18/07/2025,processing,239.04
13425,3909,31/10/2025,completed,1077.36
7900,8751,18/07/2025,processing,1569.62
19591,1810,3/06/2025,processing,2011.17
621,2290,18/10/2024,returned,2294.56
6816,7522,16/08/2024,processing,658.3
16147,202,14/07/2024,processing,120.35
17130,5466,7/07/2025,shipped,26.13
5785,6948,14/02/2024,returned,1021.8
4979,5845,20/02/2024,returned,96.21
19495,6580,13/07/2024,returned,281.5
3506,1800,12/03/2025,cancelled,286.17
19388,3971,3/05/2025,processing,917.97
271,3973,2/06/2024,shipped,357.98
3938,9557,23/09/2025,shipped,873.24
10891,3873,8/01/2024,completed,294.88
15702,306,24/06/2025,cancelled,40.71
19161,5660,11/07/2025,shipped,42.48
11320,1577,11/07/2024,shipped,1305.24
15978,3911,19/09/2024,shipped,173.61
16209,9179,18/09/2025,completed,689.32
16981,8304,3/06/2024,completed,132.22
3810,3414,28/04/2024,returned,479.8
4380,8670,29/07/2025,processing,120.33
11887,9243,19/02/2024,processing,15.64
1882,8282,13/11/2024,shipped,29.68
18255,4501,22/09/2025,shipped,330.8
18155,7930,3/06/2025,completed,2744.83
343,4252,25/04/2024,shipped,25.58
17358,2524,3/04/2025,shipped,258.59
1952,5570,26/04/2024,processing,177.33
12809,4156,4/01/2024,processing,257.32
551,9003,18/11/2024,returned,1131.3
5590,9220,23/05/2024,completed,9.98
2751,6826,21/11/2024,returned,77.3
4210,9179,24/07/2024,returned,1346.29
10277,486,21/01/2025,returned,546.88
15362,7747,1/08/2025,shipped,561.75
13880,4237,22/05/2025,processing,302.04
8074,7638,25/05/2025,completed,159.74
18479,2392,18/05/2025,cancelled,606.62
19144,5997,17/01/2025,completed,260.02
9069,6731,28/11/2024,shipped,570.85
19380,3670,24/04/2025,shipped,563.88
17935,5385,2/03/2024,processing,146.62
6826,2816,15/09/2024,processing,90.81
15965,653,8/08/2024,processing,26.13
19003,9380,23/08/2024,processing,261.3
2146,234,28/08/2025,returned,5433.42
11313,5365,26/07/2024,processing,3060.97
18438,3474,8/02/2024,returned,1307.61
17542,632,1/09/2024,returned,170.45
9247,6748,18/04/2024,processing,737.58
16914,2993,12/05/2025,cancelled,226
6779,1664,11/06/2024,shipped,1311.4
19482,9400,20/02/2025,completed,2068.5
10879,8897,13/03/2025,processing,563.69
4108,6150,27/11/2024,completed,277.68
16326,7961,11/08/2025,shipped,117.92
3889,4001,6/06/2024,completed,2302.78
17480,2005,24/10/2024,shipped,344.44
17885,2828,16/06/2024,returned,106.81
8193,7096,29/04/2024,cancelled,362.37
10043,5163,4/01/2024,completed,3078.25
4670,408,22/02/2024,returned,143.9
16388,8739,22/04/2025,returned,565.07
10566,6803,16/03/2024,cancelled,1598.44
14695,5953,25/04/2024,shipped,1136.07
9429,9282,12/01/2025,processing,141.54
5605,2279,5/03/2025,completed,475.65
3543,3347,2/07/2025,processing,152.1
18606,5320,11/10/2025,cancelled,658.98
9537,698,16/10/2025,shipped,305.73
1976,6267,2/04/2024,completed,69.5
12391,3122,28/08/2024,processing,397.97
5919,5413,26/06/2024,cancelled,491.5
12904,9299,14/10/2024,returned,75.15
730,4063,22/01/2025,shipped,26.06
14086,7139,20/06/2024,shipped,373.83
9185,1864,20/03/2024,completed,204.76
2014,7272,2/02/2025,returned,392.28
3088,2888,17/01/2025,returned,65.21
12381,8508,2/11/2024,returned,238.36
6127,6443,10/03/2024,cancelled,135.33
1812,400,6/06/2024,returned,2546.41
4758,8409,3/03/2024,completed,318.64
1644,9170,20/05/2025,shipped,414.66
13535,1670,19/06/2024,shipped,69.34
8616,5437,9/06/2025,completed,56.87
9245,3103,6/08/2024,processing,151.03
13701,512,14/11/2024,processing,665.02
15736,1373,12/09/2025,completed,827.98
18067,4692,21/01/2025,cancelled,226.67
4972,9895,25/11/2024,processing,1051.36
14679,9114,27/05/2025,completed,1812.85
7334,650,21/05/2024,completed,186.92
19220,953,8/11/2025,shipped,1600.79
16820,1719,29/06/2025,completed,320.67
14101,6083,4/09/2024,cancelled,231.26
11231,8868,14/07/2025,completed,214.22
601,8353,28/09/2024,processing,662.92
13505,2455,5/07/2024,returned,166.41
10923,7570,13/05/2025,shipped,234.33
5634,9738,9/05/2024,shipped,318.51
14838,3618,11/04/2025,completed,350.38
9249,5667,18/05/2024,cancelled,802.21
19179,3430,26/09/2025,shipped,206.27
10242,5155,8/04/2024,cancelled,479.8
17960,3409,23/10/2025,processing,23.28
13216,474,20/07/2024,shipped,233.7
3595,5303,10/07/2025,returned,3073.26
10794,2203,10/08/2024,returned,208.92
17882,7617,10/05/2024,shipped,112.68
16032,6240,14/05/2025,shipped,60.33
994,673,26/01/2024,returned,371.63
14957,8936,10/04/2025,completed,1605.25
11168,3348,21/10/2025,cancelled,253.01
5400,4475,8/02/2025,returned,330.15
1267,2948,1/02/2024,shipped,32.7
3615,3072,27/06/2024,completed,954.63
1899,4169,16/04/2024,shipped,44.53
13102,1254,22/07/2024,returned,294.72
3179,8516,24/09/2025,returned,34.94
19647,888,26/12/2024,completed,164.53
8159,8327,4/03/2025,processing,134.17
9405,2171,11/06/2025,completed,175.68
4556,2324,20/02/2024,returned,379.66
1508,5444,7/09/2025,processing,602.05
15401,4265,30/03/2025,returned,766.26
15958,2887,18/08/2025,returned,84.96
9867,3035,9/02/2024,cancelled,1499.58
3730,9659,30/06/2024,completed,323.73
17397,2039,16/03/2025,processing,76.18
6401,3775,3/01/2024,returned,97.57
19127,3210,10/01/2024,returned,220.17
9042,8282,13/04/2024,cancelled,741.57
10778,7170,23/12/2024,cancelled,346.25
9868,821,7/03/2025,processing,379.69
9963,8661,9/07/2024,shipped,3087.33
14659,6711,19/10/2025,cancelled,168.63
7113,6005,3/01/2024,completed,62.19
5007,3284,21/01/2025,completed,314.04
13601,7208,9/02/2025,completed,15.21
7788,2076,25/09/2025,returned,105.08
17349,6759,30/12/2024,processing,3.42
8002,2716,2/04/2025,completed,572.62
14890,2104,4/10/2024,completed,904.04
4427,8049,2/11/2025,cancelled,163.19
13173,8126,20/03/2024,cancelled,643.14
668,7311,27/09/2024,cancelled,1554.14
17225,8535,7/10/2024,processing,2090.93
4276,3361,9/09/2025,completed,204.78
9525,7100,29/04/2024,completed,71.01
10749,1019,23/03/2025,cancelled,234.11
12850,1839,1/10/2025,completed,14.33
1346,6456,14/03/2025,returned,271.11
3609,3292,7/10/2024,processing,291.39
18158,2935,14/11/2024,shipped,3198.8
999,2915,27/06/2025,completed,229.12
10093,5077,12/08/2025,processing,1033.13
18825,354,9/06/2025,shipped,20.98
3159,4106,11/01/2025,processing,168.03
12346,6389,27/07/2024,completed,207.43
14076,8252,17/01/2024,cancelled,1267.96
10555,4336,31/12/2024,processing,826.62
8706,3681,22/10/2025,shipped,562.93
14214,2629,30/01/2025,returned,2130.49
14772,271,23/12/2024,processing,44.02
4412,7571,28/07/2024,shipped,814.91
16353,3122,9/03/2025,shipped,493.31
14493,1401,2/06/2024,shipped,34
6017,9134,11/01/2024,returned,110.71
6067,2534,17/06/2025,shipped,1038.94
14239,7543,23/10/2025,shipped,122.35
7685,3365,8/04/2024,completed,2456.22
18604,1151,9/12/2024,shipped,638.51
3978,1429,27/11/2024,cancelled,29.91
15184,2341,20/05/2024,cancelled,116.22
3035,8598,19/01/2024,processing,115.86
13793,9959,4/09/2025,shipped,56.45
2529,6550,29/09/2025,returned,65.56
13941,3547,3/03/2025,shipped,1179.54
18476,8534,24/09/2025,returned,326.01
15067,1489,10/09/2024,completed,97.69
6321,7144,17/07/2024,processing,299.09
18059,2638,3/07/2025,returned,219.21
18467,3371,2/03/2024,cancelled,32.08
14498,9516,2/12/2024,processing,263.27
17760,9678,26/01/2024,returned,761.64
15765,2286,7/07/2024,shipped,1642.79
14718,8457,7/06/2024,completed,228.98
10317,8716,11/10/2024,processing,250.53
19695,7554,26/07/2025,completed,116.76
8264,5756,3/09/2025,completed,300.8
1370,5517,27/05/2025,cancelled,221.43
164,6977,19/02/2025,returned,415.45
13919,4044,2/01/2024,returned,209.57
17260,7268,28/10/2024,shipped,1560.88
9023,9233,5/09/2025,returned,297.5
1698,318,27/12/2024,processing,585.96
5512,9495,24/07/2024,completed,36.16
7328,6572,23/08/2025,returned,313.89
8383,284,29/07/2024,returned,112.45
4431,3135,26/01/2024,processing,189.63
9135,8879,24/05/2025,returned,1771.21
18419,4735,26/01/2024,returned,793.04
12041,1304,7/07/2025,shipped,331.18
12647,6138,7/07/2024,completed,313.84
6166,8246,28/09/2024,returned,84.86
19544,2469,9/05/2024,returned,235.45
957,4492,24/05/2024,returned,297.47
6476,3211,17/05/2024,completed,399.86
2215,1300,2/06/2024,shipped,441.01
19381,3756,20/09/2024,shipped,14.26
16885,4398,21/05/2024,cancelled,619.61
13420,7995,9/11/2024,returned,361.4
10453,9349,21/03/2025,returned,808.6
18248,8289,23/06/2024,returned,205.09
11670,633,7/10/2025,shipped,231.05
14749,2710,27/05/2024,returned,4169.93
18404,7838,8/08/2024,returned,546.86
5742,5268,20/08/2024,cancelled,319.25
13324,7512,12/08/2024,cancelled,41.27
893,7147,10/10/2025,completed,1239.31
4320,7541,3/09/2024,cancelled,978.11
5319,8400,12/01/2024,processing,117.63
9585,9857,19/02/2024,shipped,1168.31
15316,6351,28/07/2025,shipped,585.74
9070,8563,11/12/2024,returned,977.24
19720,4721,28/11/2024,completed,127.81
9088,8317,26/08/2024,completed,380.78
19081,2440,13/06/2025,completed,2077.88
7192,5225,4/03/2024,cancelled,761.6
1407,2874,1/10/2025,processing,13.24
11736,3060,14/05/2024,completed,195.21
8390,7521,12/01/2025,returned,912.66
19092,4841,16/01/2024,processing,472.84
11608,1117,14/07/2024,shipped,384.06
19901,6439,14/11/2024,returned,278.06
2870,2689,11/05/2025,cancelled,526.72
19437,5279,29/05/2025,completed,374.28
17346,573,21/07/2024,returned,123.85
16804,3154,9/08/2024,cancelled,210.39
11022,3720,14/11/2025,processing,346.07
16870,4063,28/09/2024,returned,344.95
12272,1775,3/05/2024,shipped,549.57
15709,7429,5/05/2024,shipped,54.65
7483,2824,5/10/2024,shipped,35.77
18934,7420,15/12/2024,completed,977.37
10881,8849,7/06/2024,returned,1175.37
18497,9053,13/08/2025,cancelled,15.64
18711,7041,20/02/2025,shipped,499.05
10325,3804,2/04/2024,completed,134.24
11222,5912,10/01/2025,shipped,26.26
3726,5616,11/12/2024,returned,477.42
4574,1758,22/10/2024,returned,1773.88
5000,6029,8/03/2025,returned,513.39
14633,2937,11/03/2025,completed,454.35
1488,8659,1/02/2024,processing,2635.95
3222,2240,16/08/2025,shipped,708.98
5113,160,24/05/2024,processing,262.98
8738,2368,22/09/2024,shipped,107.31
14599,2773,1/08/2025,returned,962.65
3970,4498,2/01/2025,cancelled,116.96
4477,801,21/04/2025,cancelled,247.02
740,4443,8/03/2024,processing,223.52
11025,2027,18/01/2024,processing,2139.98
13349,4860,31/07/2024,shipped,1261.19
16280,9566,20/02/2025,returned,24.92
2962,1777,26/03/2025,shipped,466.15
7687,9914,21/04/2025,returned,949.73
1769,3430,28/10/2024,processing,408.71
14090,3437,12/11/2025,cancelled,1748.33
17240,3075,5/10/2025,shipped,1188.58
6792,6294,28/03/2025,completed,15.87
16207,6897,26/05/2025,returned,196.96
407,6627,18/01/2024,shipped,167.07
11053,4770,10/02/2025,cancelled,380.92
8307,6318,17/03/2025,returned,114.03
16571,9493,14/03/2025,cancelled,1791.94
3075,9829,24/09/2024,cancelled,755.76
17373,2204,28/12/2024,completed,92.23
182,9225,11/02/2024,processing,246.7
6274,3159,7/12/2024,processing,90.89
19636,9780,16/12/2024,processing,331.01
9163,6207,29/04/2024,shipped,84.13
11774,3987,28/07/2024,shipped,901.46
9495,2824,23/10/2024,shipped,183.25
12695,1044,3/05/2025,completed,815.47
17003,5705,21/06/2025,returned,121.02
5772,3188,4/04/2025,completed,1956.18
200,7622,9/04/2025,returned,26.74
109,1398,22/03/2025,returned,103.67
5631,8749,5/09/2025,shipped,213.55
16667,1071,2/07/2025,returned,6.75
14161,9246,7/10/2025,shipped,78.45
1509,1398,8/12/2024,completed,402.72
16206,6704,7/04/2025,returned,4064.62
1424,5906,12/11/2024,cancelled,645.5
14051,4593,1/02/2025,processing,945.15
9550,3506,16/12/2024,shipped,887.7
12992,403,3/08/2024,completed,19.09
1205,8439,3/09/2025,cancelled,374.05
15050,5800,5/09/2024,completed,84.79
3645,9180,17/09/2025,shipped,83.52
16352,7665,14/04/2025,cancelled,1555.63
1148,2941,4/12/2024,completed,380.65
2561,3837,4/01/2025,returned,130.95
18176,2499,7/07/2024,returned,750.33
531,8071,2/05/2024,cancelled,611.3
6084,819,26/02/2024,processing,42.78
4933,8886,3/02/2025,shipped,66.67
11935,5774,27/06/2025,shipped,508.93
15882,3996,23/04/2025,shipped,2682.45
19409,863,18/03/2024,completed,252.17
13181,5451,13/07/2025,shipped,426.42
17372,2630,29/01/2024,shipped,1251.1
3853,420,1/07/2025,returned,340.47
13839,401,6/03/2025,returned,66.11
1636,7410,21/02/2024,processing,676.91
3343,770,15/04/2024,processing,21.12
7744,8095,25/06/2024,shipped,332.74
19392,5481,12/05/2024,shipped,514.97
9700,5313,29/04/2024,cancelled,80.87
907,4247,1/03/2025,completed,1059.3
8340,9656,16/01/2024,returned,59.51
10297,6137,10/09/2025,returned,201.8
13403,3610,15/05/2025,completed,805.42
13512,2671,12/08/2024,processing,967.92
13295,888,2/08/2024,completed,304.79
16517,7514,15/10/2024,returned,530.74
17742,7594,1/09/2024,shipped,5176.65
1741,4825,15/10/2025,completed,269.98
11873,8313,3/04/2024,cancelled,289.56
13271,5426,21/04/2024,completed,662.83
8638,3042,18/09/2024,shipped,265.29
10078,466,16/01/2024,cancelled,606.44
10318,666,7/03/2024,cancelled,334.79
17307,3356,28/05/2024,completed,788.57
19165,6645,19/01/2025,cancelled,99.31
7177,3951,12/07/2025,returned,100.55
10612,3474,7/05/2024,cancelled,127.26
353,7561,9/10/2024,returned,373.43
3695,8215,1/08/2024,shipped,54.42
8280,3105,27/07/2024,shipped,1217.83
10054,5554,14/04/2025,shipped,66.56
11989,9334,17/05/2025,processing,265.42
13533,9299,27/08/2025,returned,124.59
18792,5254,25/08/2024,cancelled,46.59
19511,5592,1/01/2024,processing,1389.22
18163,7909,28/11/2024,cancelled,107.77
6358,5949,4/08/2024,cancelled,983.44
12449,5694,23/04/2025,processing,100.62
5051,8974,27/06/2024,shipped,835.25
7391,7259,27/10/2024,shipped,152.24
4350,9799,22/11/2024,returned,68.37
822,4158,22/09/2024,completed,21.92
867,4937,24/06/2025,cancelled,1237.89
17296,6366,23/11/2024,completed,59.15
4116,9005,27/08/2024,cancelled,1763.34
15350,3821,20/06/2024,shipped,138.92
9300,466,6/11/2024,processing,1287.95
1127,278,15/03/2024,returned,168.63
9866,7958,7/09/2025,shipped,85.22
10310,5025,23/09/2025,returned,21.38
1617,3529,28/06/2024,shipped,187.25
5609,532,8/02/2024,completed,46.87
303,8037,13/01/2025,returned,173.9
4766,5589,10/03/2024,shipped,1148.52
19893,2376,28/07/2025,returned,1061.13
13577,7089,20/07/2024,cancelled,630.83
5209,9852,21/10/2025,shipped,729.28
3081,407,24/11/2024,cancelled,985.28
3242,4656,26/09/2025,shipped,39.96
12896,6548,4/04/2024,shipped,575.07
7588,6384,13/04/2024,returned,244.57
2317,4177,6/03/2025,shipped,1470.93
10558,2021,1/12/2024,completed,307.04
13366,2682,12/06/2024,returned,176.63
3004,9935,13/11/2025,completed,367.54
5012,7029,30/04/2025,completed,1387.63
1430,4979,22/08/2025,cancelled,383.75
3384,2466,30/08/2024,shipped,220.12
10934,9549,10/04/2024,shipped,506.24
7808,6166,16/12/2024,shipped,276.01
5471,6965,17/10/2024,returned,49.77
3837,3541,17/03/2024,cancelled,81.28
10530,6511,17/04/2025,completed,442.23
4918,7043,29/10/2025,cancelled,141.5
4752,4150,24/09/2025,completed,1187.64
11657,2215,20/11/2024,returned,45.74
18488,6827,28/04/2025,shipped,311.41
16319,8015,19/05/2025,returned,2035.68
15859,282,28/06/2024,returned,300.29
1764,2614,5/05/2025,processing,2859.09
5976,7452,18/01/2024,processing,228.48
10291,2,18/08/2024,shipped,672.85
5930,8813,29/06/2025,returned,9.58
11327,7202,19/05/2025,returned,127.26
8143,3459,9/11/2025,cancelled,82.85
8110,8832,11/05/2025,processing,1412.98
8580,3234,3/03/2024,returned,57.6
16899,8219,16/04/2025,cancelled,150.71
16210,6782,18/03/2024,processing,45.32
17753,1717,28/08/2025,returned,256.49
7461,2762,23/08/2024,cancelled,885.92
3432,3399,20/02/2025,returned,178.17
9697,7701,2/02/2025,returned,1580.24
6039,344,8/02/2025,cancelled,873.67
8273,9957,1/07/2024,shipped,296.15
3555,6703,1/10/2025,completed,97.57
15029,9291,21/03/2024,processing,163.08
5363,5261,8/07/2024,cancelled,146.81
11330,111,19/02/2025,completed,698.65
1648,7684,23/12/2024,completed,396.98
15671,429,6/08/2025,completed,644.76
15144,7177,5/05/2025,processing,73.39
2035,6017,19/02/2024,cancelled,173.94
1170,1345,8/02/2024,returned,563.09
3108,8774,20/04/2025,returned,1960.92
19075,6242,26/09/2024,shipped,88.69
5924,3651,5/09/2024,cancelled,955.84
18351,7454,24/11/2024,completed,1136.5
4483,7994,17/03/2024,cancelled,4.19
8664,9323,15/11/2024,shipped,1326.24
10706,362,31/01/2025,shipped,1019.86
15097,5984,10/03/2024,shipped,262.65
12962,7506,19/01/2025,cancelled,1063.49
4748,1435,28/02/2024,returned,596.04
10183,4492,26/03/2024,cancelled,710.28
10333,3784,5/03/2024,cancelled,160.17
14480,6089,1/01/2025,processing,106.55
14573,7598,5/09/2025,returned,111.58
7439,4366,17/09/2025,processing,15.79
16923,7665,7/04/2024,processing,1941.52
10983,1329,29/05/2025,processing,94.62
7875,818,10/04/2024,shipped,37.8
4062,8766,10/08/2024,returned,709.32
7322,3052,11/04/2025,completed,296.23
17308,7529,13/04/2024,processing,356.04
1250,8869,12/01/2025,completed,21.52
4339,1493,18/05/2024,returned,109.92
4745,227,9/01/2024,processing,71.07
2337,9566,13/02/2024,returned,3158.22
4462,3946,24/07/2025,completed,833.09
7538,7111,3/06/2024,returned,114.72
1970,8467,7/06/2025,cancelled,464
6226,8788,19/07/2025,shipped,858.26
1026,6008,24/08/2025,completed,70.32
12240,6414,20/04/2025,completed,85.43
18873,6763,26/08/2024,cancelled,1177.57
11467,6299,16/12/2024,processing,72.21
18008,1285,5/11/2024,processing,376.36
7015,6237,9/02/2024,shipped,209.25
15786,9832,30/08/2025,shipped,197.07
3022,6857,12/08/2024,processing,88.96
2029,5523,22/02/2025,returned,583.68
13854,5531,29/04/2025,returned,62.1
4071,651,8/03/2025,completed,27.81
3800,8263,20/06/2025,returned,305
13393,604,1/03/2025,shipped,69.1
9604,5301,17/01/2024,cancelled,91.33
291,7858,3/02/2024,shipped,778.39
19185,2651,25/08/2024,cancelled,394.7
17586,9376,7/07/2025,cancelled,756.59
11652,1660,9/05/2024,completed,1309.39
8186,8164,10/04/2025,processing,2842.41
18542,998,5/09/2025,returned,311.01
18677,3850,20/08/2025,completed,14.44
15932,3553,28/10/2024,cancelled,897.6
85,9453,10/12/2024,processing,661.52
19110,248,22/12/2024,processing,120.22
18838,865,19/03/2024,completed,494.86
2018,1182,11/06/2025,cancelled,58.83
18832,6142,9/03/2024,completed,332.67
1464,9827,8/04/2025,returned,244.16
11347,5850,13/12/2024,returned,219.98
15377,9074,30/04/2024,cancelled,115.5
3911,1275,9/02/2024,completed,247.99
12634,6935,23/11/2024,shipped,245.6
9219,6297,23/12/2024,shipped,290.73
1678,8151,12/07/2024,returned,1814.71
19897,6730,16/05/2024,cancelled,939.7
2512,802,2/12/2024,processing,398.82
3577,6490,11/08/2025,shipped,27.21
14199,5915,5/05/2025,completed,411.48
18398,3081,25/12/2024,processing,132.31
10024,2020,22/10/2024,shipped,96.56
4800,3316,20/09/2025,cancelled,317.82
5436,6676,11/10/2024,cancelled,714.96
14070,2407,30/06/2025,processing,23.33
10214,3889,4/05/2025,returned,565.65
13810,3692,21/10/2024,cancelled,776.65
17446,6807,3/11/2025,processing,52.87
14543,5322,24/05/2025,shipped,1154.99
14394,2360,11/01/2025,completed,741.89
10851,5474,25/11/2024,cancelled,474.15
15893,7014,30/06/2024,completed,17.57
4066,6995,23/07/2024,returned,891.11
14284,4282,16/04/2025,cancelled,111.12
2638,7749,30/04/2025,completed,100.65
503,7357,21/01/2024,processing,192.81
8064,8677,8/11/2025,completed,182.11
18508,8463,14/08/2025,completed,1490.27
9390,5320,15/03/2025,returned,12.34
19198,5824,17/01/2024,shipped,631.84
6859,6901,12/06/2025,completed,193.12
19178,6464,16/02/2024,shipped,2633.32
944,7233,13/04/2025,cancelled,113.98
14829,9586,1/12/2024,cancelled,234.18
4280,3213,17/11/2024,processing,126.29
5843,4275,28/08/2025,processing,29.55
13593,1537,10/06/2024,shipped,222.62
4083,6054,9/04/2024,completed,26.21
11063,824,18/04/2024,returned,1036.82
16396,9825,7/09/2025,cancelled,786.72
2229,6480,16/07/2024,returned,32.11
17824,8133,12/08/2025,shipped,725.56
18641,4925,1/04/2024,completed,493.15
18005,8068,1/11/2025,processing,829.05
19890,2120,2/10/2025,shipped,202.72
5877,6541,27/01/2024,cancelled,189.93
16225,8655,29/01/2024,cancelled,324.97
7308,427,18/07/2024,cancelled,1445.44
15585,7930,6/05/2024,completed,441.37
548,8981,2/08/2024,returned,1501.13
821,3301,11/02/2024,returned,739.24
12556,6972,23/02/2024,shipped,134.65
4740,1501,17/09/2024,completed,254.76
12207,1055,10/07/2025,returned,3097.17
6998,5877,20/01/2024,processing,294.74
10996,7027,17/04/2025,returned,1174.07
11899,3868,28/10/2024,processing,810.53
10630,6657,25/05/2025,completed,192
5555,2124,10/07/2024,returned,343.93
187,5772,2/11/2024,processing,534.92
12545,1769,29/08/2024,returned,1279.29
19489,9971,12/10/2024,completed,83.13
16597,1432,24/06/2024,cancelled,95.98
11127,2964,29/04/2025,cancelled,51.52
8075,5444,8/06/2024,cancelled,2774.78
17674,2677,4/10/2025,completed,16.71
16178,3080,12/09/2025,processing,1411.76
14673,7617,5/03/2025,completed,332.98
11664,2120,23/08/2025,shipped,141.13
17039,1700,19/09/2024,shipped,466.84
12107,3751,7/12/2024,returned,182.55
18217,568,5/06/2024,cancelled,156.17
14627,3726,19/04/2025,completed,829.61
78,5863,31/03/2025,shipped,186.4
10175,3294,18/01/2024,completed,541.73
17620,121,30/11/2024,returned,773.33
19180,725,17/04/2024,shipped,199.29
4235,4453,10/11/2024,returned,23.76
6295,8678,28/06/2024,completed,65
3558,6369,9/07/2025,cancelled,106.32
13994,5266,21/09/2024,completed,53.8
4023,9913,2/08/2025,cancelled,81.88
8501,1574,22/07/2024,shipped,445.25
19794,1673,4/07/2024,cancelled,1158.55
11765,3179,18/01/2024,shipped,73.71
15436,8192,6/05/2025,returned,223.76
18953,2930,19/03/2024,cancelled,236.87
9975,5328,24/05/2024,processing,401.39
1675,677,10/11/2025,completed,226.2
14416,3842,17/06/2025,completed,132.7
19933,5987,10/03/2025,cancelled,32.09
4420,1705,24/05/2025,returned,135.87
17861,8864,29/10/2025,shipped,474.82
9610,1718,7/06/2024,completed,580.48
5290,6378,3/06/2024,shipped,1493.77
8206,1529,15/01/2024,shipped,35.41
11346,4023,7/03/2024,completed,1807.47
18048,6583,29/04/2024,completed,129.49
4246,4009,13/03/2025,processing,822.11
10516,2981,1/07/2024,returned,15.6
1164,8607,15/05/2025,shipped,214.4
16425,1001,19/04/2025,returned,358.99
17105,9331,4/09/2024,processing,606.9
557,104,12/11/2024,cancelled,1097.64
2737,9369,8/04/2024,processing,2372.99
9116,6936,21/01/2025,shipped,79.3
10635,10,20/12/2024,cancelled,365.74
19509,2959,31/07/2024,cancelled,226.72
3391,809,19/03/2025,completed,273.5
15392,3105,9/09/2024,cancelled,112.19
13649,4640,4/01/2025,cancelled,153.41
