prdid,prdname,prdcategory,prdbrand,prdprice,prdrating
149,Nimbus Where,Automotive,Nimbus,323.14,4.5
1409,Willow Open,Books,Willow,44.71,4.54
673,Orion Structure,Sports,Orion,224.01,2.63
1031,Solace Group,Pet Supplies,Solace,82.85,4.23
1957,Zenith Conference,Pet Supplies,Zenith,45.18,2.72
1319,Solace Change,Toys,Solace,65.6,2.88
551,GreenLeaf Able,Home & Kitchen,GreenLeaf,154.28,4.03
1504,Harbor Return,Electronics,Harbor,1206.27,3.12
604,Pulse Economy,Pet Supplies,Pulse,113.44,4.4
447,Astra Shake,Beauty,Astra,127.26,4.31
1634,Pulse Outside,Electronics,Pulse,372.7,4.42
732,NeoTech Receive,Books,NeoTech,52.87,3.17
1766,Willow Purpose,Pet Supplies,Willow,64.22,3.51
388,GreenLeaf Discover,Clothing,GreenLeaf,252.09,2.92
1661,Acme Thought,Toys,Acme,14.26,4.53
491,Willow Answer,Electronics,Willow,398.86,2.95
1838,Everest Several,Home & Kitchen,Everest,331.98,3.02
1738,Nimbus Wish,Pet Supplies,Nimbus,52.26,3.4
442,Everest Than,Home & Kitchen,Everest,353.65,4.66
1991,Nimbus Military,Sports,Nimbus,178.96,3.57
1416,Harbor Improve,Groceries,Harbor,26.31,4
1120,Nimbus Lose,Toys,Nimbus,92.24,3.87
229,Acme Run,Pet Supplies,Acme,5.59,2.52
1356,Zenith Center,Toys,Zenith,48.15,2.52
1758,Everest Whole,Pet Supplies,Everest,8.07,2.69
921,Acme Military,Home & Kitchen,Acme,47.82,4.8
474,GreenLeaf Significant,Sports,GreenLeaf,283.17,3.01
80,Acme Discuss,Pet Supplies,Acme,24.52,3.42
784,Harbor Bar,Toys,Harbor,49.7,2.63
736,GreenLeaf The,Home & Kitchen,GreenLeaf,63.08,4.29
187,Harbor For,Sports,Harbor,134.5,4.84
537,Willow Use,Automotive,Willow,64.45,3.1
1273,NeoTech Heart,Books,NeoTech,9.74,3.1
1166,Solace Peace,Sports,Solace,61.86,4.26
1997,Zenith Board,Clothing,Zenith,106.67,2.66
920,Nimbus Girl,Books,Nimbus,65.35,4.7
1561,Nimbus Risk,Beauty,Nimbus,69.68,3.41
1020,Acme Miss,Electronics,Acme,917.59,2.58
1894,NeoTech Must,Clothing,NeoTech,51.65,2.56
1285,Zenith Wrong,Beauty,Zenith,29.9,3.18
7,Zenith School,Toys,Zenith,81.17,2.61
414,Zenith Almost,Home & Kitchen,Zenith,63.21,3.95
865,GreenLeaf Image,Sports,GreenLeaf,158.06,4.82
304,Willow Site,Clothing,Willow,120.82,2.68
431,Zenith Skin,Books,Zenith,27.08,3.96
368,Harbor Several,Sports,Harbor,257.21,4.37
1434,Harbor Together,Automotive,Harbor,669.84,3.68
668,Nimbus Culture,Clothing,Nimbus,168.02,3.77
2000,Harbor Whole,Books,Harbor,64.11,4.17
815,Willow Leader,Home & Kitchen,Willow,408.71,4.76
1050,Acme If,Electronics,Acme,598.07,3.16
544,Orion Now,Clothing,Orion,248.05,4
1684,Acme Anyone,Automotive,Acme,728.97,4.12
1038,Nimbus Deal,Books,Nimbus,22.47,4.85
1130,Orion Writer,Beauty,Orion,98.52,4.8
609,Zenith Nation,Books,Zenith,42.5,4.81
1915,Solace Or,Groceries,Solace,2.41,2.99
837,Zenith Performance,Pet Supplies,Zenith,81.32,4
1123,NeoTech May,Groceries,NeoTech,5.79,4.63
188,Zenith Direction,Pet Supplies,Zenith,12.4,2.69
1424,GreenLeaf Bill,Clothing,GreenLeaf,85.29,4.72
1402,Astra This,Beauty,Astra,121.55,3.59
1907,Nimbus Stay,Toys,Nimbus,34.96,3.84
195,Willow Study,Clothing,Willow,72.69,3.64
1668,GreenLeaf Recent,Clothing,GreenLeaf,47.02,2.74
657,Willow Student,Pet Supplies,Willow,23.33,3.47
360,Nimbus Main,Pet Supplies,Nimbus,59.31,4.45
106,Acme Sport,Toys,Acme,86.59,4.02
1781,Pulse Central,Electronics,Pulse,984.2,4.66
326,Acme Financial,Groceries,Acme,2.75,4
346,Pulse Third,Books,Pulse,51.61,4.24
1886,Acme Best,Electronics,Acme,1325.06,3.02
139,Harbor Able,Home & Kitchen,Harbor,335.61,4.21
9,Harbor Go,Home & Kitchen,Harbor,253.18,4.44
40,Acme Night,Home & Kitchen,Acme,350.41,4.74
612,Nimbus Successful,Pet Supplies,Nimbus,92.36,4.59
1037,Solace Growth,Home & Kitchen,Solace,130,3.53
1493,Solace Lead,Electronics,Solace,992.56,3.1
1653,Nimbus Control,Electronics,Nimbus,1187.64,4.85
1620,Zenith Television,Books,Zenith,39.96,3.84
296,Acme Figure,Groceries,Acme,21.18,2.68
313,Orion Tonight,Books,Orion,70.39,3.74
1867,Acme Foot,Toys,Acme,93.84,3.96
1355,Harbor Where,Toys,Harbor,62.74,4.76
361,Harbor Man,Clothing,Harbor,168.32,2.69
412,Orion News,Home & Kitchen,Orion,225.99,4
1063,GreenLeaf Happen,Groceries,GreenLeaf,27.14,3.06
1316,Nimbus Run,Electronics,Nimbus,1077.43,3.79
1168,Solace Cell,Home & Kitchen,Solace,416.24,2.98
1349,Acme Popular,Beauty,Acme,84.98,2.99
1847,GreenLeaf Goal,Electronics,GreenLeaf,1025.31,4.09
1704,NeoTech Property,Books,NeoTech,83.51,4.32
172,Harbor Natural,Home & Kitchen,Harbor,53.8,2.53
1586,Pulse Else,Books,Pulse,9.81,3.27
410,Nimbus Surface,Beauty,Nimbus,83.41,3.1
1023,Everest Early,Pet Supplies,Everest,93.43,2.86
634,GreenLeaf Argue,Clothing,GreenLeaf,43.85,2.52
185,Orion Guy,Toys,Orion,69.64,2.77
1444,Harbor Almost,Pet Supplies,Harbor,39.6,2.83
924,Everest Table,Sports,Everest,122.6,4.79
297,Everest Deep,Automotive,Everest,902.48,3.98
891,NeoTech Direction,Groceries,NeoTech,29.68,3.38
531,Nimbus Young,Beauty,Nimbus,167.72,4.13
1095,Willow Firm,Beauty,Willow,49.87,3.58
403,Orion Film,Clothing,Orion,74.66,2.55
586,Acme Action,Home & Kitchen,Acme,66.03,4.64
1793,Acme Marriage,Electronics,Acme,896.38,3.47
1506,Nimbus Support,Home & Kitchen,Nimbus,186.05,3.07
509,NeoTech Throw,Electronics,NeoTech,538.42,3.75
807,Nimbus Financial,Electronics,Nimbus,1205.1,3.41
35,Everest Choose,Electronics,Everest,438.46,4.63
206,Orion Pm,Automotive,Orion,202.11,4.47
968,NeoTech Body,Sports,NeoTech,133.34,3.03
725,Astra Into,Electronics,Astra,412.67,4.55
933,Pulse Attention,Sports,Pulse,167.45,2.7
259,Orion Financial,Sports,Orion,166.86,4.42
596,Everest Example,Beauty,Everest,29.5,3.2
1201,Astra Cell,Beauty,Astra,37.71,4.2
761,Willow Perform,Pet Supplies,Willow,57.87,2.57
1933,Zenith Live,Pet Supplies,Zenith,86.02,3.77
1045,Pulse Front,Toys,Pulse,41.15,2.71
1124,Solace We,Groceries,Solace,5.5,4.44
333,GreenLeaf Reflect,Books,GreenLeaf,32.42,2.97
1154,Acme Two,Beauty,Acme,22.62,3.96
1300,Harbor Mrs,Toys,Harbor,60.63,4.23
1676,Acme Prevent,Groceries,Acme,3.69,4.25
1893,Orion Manage,Books,Orion,24.22,3.65
1964,Willow Nation,Home & Kitchen,Willow,121.56,3.15
1804,Harbor Cost,Pet Supplies,Harbor,9.81,2.74
1260,Willow Add,Automotive,Willow,337.06,4.77
993,NeoTech Laugh,Electronics,NeoTech,564.72,3.3
1649,Harbor Goal,Sports,Harbor,361.55,4.07
515,Zenith Treatment,Toys,Zenith,21.15,4.74
115,Astra President,Books,Astra,28.99,4.24
570,Astra Where,Automotive,Astra,108.5,2.68
1152,Pulse Drop,Clothing,Pulse,79.18,3.69
1013,Willow Spring,Automotive,Willow,1047.18,4.4
1247,Nimbus When,Clothing,Nimbus,67.54,3.58
1763,Orion Who,Toys,Orion,79.36,3.36
1274,Nimbus Court,Beauty,Nimbus,83.98,4.17
13,Harbor Others,Groceries,Harbor,19.09,4.5
754,Acme Information,Electronics,Acme,1511.11,3.88
345,Solace Official,Books,Solace,62.17,2.74
342,Nimbus Cell,Sports,Nimbus,90.57,4.49
680,Harbor Investment,Automotive,Harbor,114.54,3.97
265,GreenLeaf Move,Home & Kitchen,GreenLeaf,163.19,4.52
1288,Pulse Politics,Books,Pulse,40.6,4.75
281,Acme Stuff,Groceries,Acme,28.99,3.31
1258,Nimbus Our,Pet Supplies,Nimbus,97.42,2.52
461,Nimbus Family,Electronics,Nimbus,1700.35,3.99
1451,Solace Know,Automotive,Solace,598.27,3.72
1411,Astra Support,Clothing,Astra,52.89,3.58
1090,Solace Democratic,Toys,Solace,74.93,3.45
890,Zenith Factor,Beauty,Zenith,48.64,3.05
1848,Astra Attorney,Automotive,Astra,392.65,4.7
337,Zenith Item,Books,Zenith,23.28,4.87
1660,GreenLeaf Medical,Clothing,GreenLeaf,113.12,4.72
1435,Harbor Eye,Books,Harbor,36.92,4.58
309,NeoTech Second,Groceries,NeoTech,10.7,4.09
1439,Pulse Would,Electronics,Pulse,1221.59,3.51
1263,Acme President,Toys,Acme,80.87,4.7
904,Nimbus Environment,Toys,Nimbus,47.08,3.97
1438,Zenith Word,Home & Kitchen,Zenith,417.75,2.59
1529,NeoTech Whom,Books,NeoTech,42.34,3.13
533,Solace Republican,Pet Supplies,Solace,11.41,4.15
477,Orion Break,Sports,Orion,55.28,4.12
460,Orion Final,Groceries,Orion,20.56,4.72
548,Pulse Idea,Books,Pulse,46,2.83
998,Acme Cause,Sports,Acme,57.46,4.31
20,Nimbus Yard,Automotive,Nimbus,492.81,2.75
1430,Astra Benefit,Clothing,Astra,41.44,3.29
856,Acme Part,Sports,Acme,113.75,4.22
1686,Pulse Thing,Beauty,Pulse,134.71,3.74
640,Zenith Rise,Automotive,Zenith,130.31,3.03
317,Zenith International,Home & Kitchen,Zenith,101.71,3.13
782,Harbor None,Pet Supplies,Harbor,35.82,3.56
1315,Everest Well,Books,Everest,16.45,3.39
1780,Pulse Voice,Pet Supplies,Pulse,49.73,2.65
1963,Orion Give,Clothing,Orion,172.17,3.84
1008,GreenLeaf Meet,Home & Kitchen,GreenLeaf,438.35,2.53
405,Orion Chance,Pet Supplies,Orion,7.85,4.59
1214,Nimbus Nice,Toys,Nimbus,55.11,2.62
1557,Acme Wait,Pet Supplies,Acme,75.93,4.14
897,GreenLeaf Fight,Pet Supplies,GreenLeaf,56.26,3.3
16,Zenith Current,Groceries,Zenith,9.53,4.68
663,Solace Party,Sports,Solace,89.02,2.81
1405,Solace Strong,Toys,Solace,79.25,2.64
439,GreenLeaf Need,Clothing,GreenLeaf,115.37,4.45
73,Harbor Authority,Toys,Harbor,46.81,3.99
1859,Orion Coach,Electronics,Orion,1011.71,4.55
679,Orion Clearly,Automotive,Orion,496.78,2.52
1697,NeoTech Member,Toys,NeoTech,20.71,4.67
1279,GreenLeaf Size,Toys,GreenLeaf,64.27,3.28
1760,Everest Fast,Toys,Everest,24.92,2.95
469,Everest Later,Toys,Everest,13.01,4.45
97,Zenith Movie,Groceries,Zenith,31.94,4.65
1205,Orion Player,Home & Kitchen,Orion,393.93,4.22
429,Harbor Hear,Groceries,Harbor,39,3.37
148,GreenLeaf Medical,Toys,GreenLeaf,68.12,2.9
648,Astra Federal,Pet Supplies,Astra,6.52,2.79
816,Pulse Author,Toys,Pulse,56.6,4.26
1209,Willow Radio,Pet Supplies,Willow,8.24,3.27
1489,Everest Now,Pet Supplies,Everest,40,3.23
840,Harbor Probably,Automotive,Harbor,548.83,4.09
726,NeoTech Production,Clothing,NeoTech,109.92,3.27
703,Everest It,Beauty,Everest,26.39,3.97
1032,GreenLeaf About,Home & Kitchen,GreenLeaf,183.58,4.81
1942,Everest School,Toys,Everest,24.99,3.77
681,Acme Keep,Electronics,Acme,1708.2,2.93
179,NeoTech Movement,Home & Kitchen,NeoTech,172.42,3.28
1601,GreenLeaf Wall,Clothing,GreenLeaf,93.07,4.61
1304,Solace Miss,Automotive,Solace,375.91,4.32
1303,GreenLeaf Be,Clothing,GreenLeaf,54.36,4.34
1514,NeoTech Into,Toys,NeoTech,61.14,3.64
1527,Willow Result,Electronics,Willow,2035.42,3.87
1374,Orion Particularly,Clothing,Orion,92.28,4.35
1927,Pulse Conference,Pet Supplies,Pulse,32.11,2.78
643,Willow Age,Clothing,Willow,105.35,4.41
723,Astra Move,Electronics,Astra,244.36,4.59
1462,Zenith Happy,Electronics,Zenith,951.69,3.58
1289,Zenith About,Pet Supplies,Zenith,66.74,4.38
788,Solace Activity,Pet Supplies,Solace,95.98,4.03
407,Acme Improve,Toys,Acme,18.79,2.92
1360,GreenLeaf Say,Pet Supplies,GreenLeaf,43.4,3.59
568,Orion Interest,Groceries,Orion,16.79,3.95
1455,Pulse Natural,Home & Kitchen,Pulse,91.33,3.07
690,NeoTech Interesting,Home & Kitchen,NeoTech,368.82,3.32
972,Orion Style,Beauty,Orion,53.88,3.31
1217,Everest Really,Beauty,Everest,96.55,3.88
1571,Orion Garden,Groceries,Orion,34.58,3.89
1372,Everest Summer,Beauty,Everest,82.39,4
826,Acme Mind,Clothing,Acme,26.79,4.38
1648,Everest Even,Beauty,Everest,124.31,2.53
1085,Harbor Avoid,Groceries,Harbor,16.71,3.4
979,Solace Per,Home & Kitchen,Solace,23.87,3.53
1256,Astra Who,Books,Astra,46.57,2.93
192,Pulse Near,Electronics,Pulse,455.43,4.88
630,Harbor Audience,Pet Supplies,Harbor,104.55,3.79
1317,Everest System,Home & Kitchen,Everest,13.72,2.74
1903,Everest Number,Beauty,Everest,184.43,3.85
1662,Nimbus Difficult,Groceries,Nimbus,25.06,3.83
310,Orion Side,Clothing,Orion,67.11,3.06
472,Pulse From,Toys,Pulse,40.79,4.52
1831,Orion Fact,Beauty,Orion,169.79,3.69
216,Pulse Serious,Sports,Pulse,295.05,4.86
23,Harbor Health,Groceries,Harbor,22.11,3.09
1239,Zenith Environmental,Groceries,Zenith,15.79,3.79
912,Pulse Manage,Automotive,Pulse,189.79,2.96
1115,Nimbus Eat,Books,Nimbus,16.35,4.52
790,Acme Whether,Automotive,Acme,359.12,3.06
1321,Willow Data,Sports,Willow,27.24,3.32
1833,Orion Blood,Beauty,Orion,88.37,4
579,Zenith Look,Groceries,Zenith,7.56,3.63
120,Zenith White,Clothing,Zenith,176.19,2.8
705,Zenith Form,Pet Supplies,Zenith,62.05,3.32
205,Pulse The,Toys,Pulse,68.81,3.51
1230,Orion Season,Toys,Orion,12.46,2.69
1290,Solace And,Clothing,Solace,108.57,4.07
239,Zenith Commercial,Sports,Zenith,180.4,2.91
1977,Solace Leave,Home & Kitchen,Solace,250.41,3.3
1791,Acme Democratic,Groceries,Acme,9,3.17
467,Orion Debate,Electronics,Orion,712.19,2.94
1675,Solace Majority,Groceries,Solace,5.2,4.87
1342,Orion Young,Beauty,Orion,34.69,4.4
321,Pulse Month,Groceries,Pulse,8.99,3.67
1701,Willow Executive,Electronics,Willow,513.32,4.66
1914,Astra Thing,Electronics,Astra,948.69,3.37
888,Orion Instead,Home & Kitchen,Orion,29.52,4.5
78,Willow Determine,Automotive,Willow,344.26,3.4
720,GreenLeaf Charge,Home & Kitchen,GreenLeaf,293.24,2.72
245,Astra Get,Home & Kitchen,Astra,221.48,4.61
1982,Harbor Better,Electronics,Harbor,835.66,4.29
1580,Everest Clear,Home & Kitchen,Everest,318.51,4.78
1821,Orion Off,Electronics,Orion,852.12,4.32
1025,Solace Policy,Sports,Solace,270.77,4.79
1494,NeoTech Often,Books,NeoTech,18.45,4.11
526,NeoTech Difficult,Groceries,NeoTech,9.25,2.89
79,Orion However,Pet Supplies,Orion,71.29,3.22
1730,Zenith Investment,Beauty,Zenith,232.25,2.78
608,GreenLeaf Visit,Toys,GreenLeaf,42.74,4.89
1022,GreenLeaf Save,Pet Supplies,GreenLeaf,44.54,2.78
312,Willow Let,Beauty,Willow,84.79,3.97
600,Solace Speak,Beauty,Solace,93.51,2.93
1936,Nimbus Safe,Automotive,Nimbus,413.42,3.14
1839,Zenith Few,Sports,Zenith,180.71,4.13
1448,Harbor Onto,Electronics,Harbor,1226.78,2.9
1093,Harbor By,Groceries,Harbor,21.91,3.86
150,Pulse Kitchen,Clothing,Pulse,70.84,2.59
1995,Willow Hear,Books,Willow,51.75,3.27
1522,Harbor Draw,Toys,Harbor,43.7,4.64
212,Acme Air,Electronics,Acme,246.31,3.44
389,Willow Charge,Automotive,Willow,460.66,4.77
1369,Harbor Movement,Automotive,Harbor,213.25,3.69
858,Harbor City,Clothing,Harbor,185.03,3.02
1312,Harbor Group,Sports,Harbor,208.6,3.97
1873,Acme When,Automotive,Acme,413.11,3.87
336,Acme Outside,Clothing,Acme,121.89,4.21
110,Zenith Coach,Clothing,Zenith,154.67,2.5
119,Pulse Order,Clothing,Pulse,265.21,4.77
435,Astra Least,Books,Astra,115.46,3.81
977,Pulse Rise,Electronics,Pulse,1131.3,4.25
257,Zenith Film,Sports,Zenith,220.65,3.22
1729,NeoTech Third,Books,NeoTech,67.52,3.4
248,Solace Street,Beauty,Solace,40.54,2.51
1394,GreenLeaf Give,Sports,GreenLeaf,171.06,2.58
1378,NeoTech Particular,Home & Kitchen,NeoTech,122.6,4.61
434,NeoTech Anything,Toys,NeoTech,52.83,3.36
697,Solace Ready,Electronics,Solace,1176,3.95
1309,Solace Most,Toys,Solace,52.93,4.32
1666,GreenLeaf Different,Automotive,GreenLeaf,140.52,4.33
1746,Solace Step,Beauty,Solace,32.16,4.14
22,Nimbus Sit,Clothing,Nimbus,37.65,4.54
428,Zenith Stay,Beauty,Zenith,135.76,3.11
641,Everest Benefit,Clothing,Everest,86.47,2.58
1048,Astra Beyond,Electronics,Astra,871.92,2.95
1984,Willow Eye,Books,Willow,84.86,3.08
5,Astra Capital,Home & Kitchen,Astra,198,3.97
1148,Solace Hundred,Pet Supplies,Solace,51.8,4.4
1421,Astra Mean,Electronics,Astra,371.46,4.41
1841,Willow Local,Toys,Willow,58.53,3.05
1768,GreenLeaf Name,Beauty,GreenLeaf,29.53,3.78
1137,NeoTech More,Home & Kitchen,NeoTech,170.53,4.82
1691,Everest Stop,Automotive,Everest,893.72,3.78
105,Acme Lead,Sports,Acme,146.49,3.91
486,GreenLeaf Body,Beauty,GreenLeaf,46.64,3.18
1302,Astra Establish,Sports,Astra,13.29,4.64
733,Nimbus Check,Beauty,Nimbus,97.69,4.25
577,NeoTech Peace,Books,NeoTech,19.22,2.53
1200,Nimbus Us,Toys,Nimbus,134.65,3.88
470,Zenith Gas,Pet Supplies,Zenith,59.91,3.43
1027,GreenLeaf Visit,Groceries,GreenLeaf,3.42,3.52
1600,Harbor Significant,Sports,Harbor,28.77,3.62
1147,Orion Position,Home & Kitchen,Orion,62.75,4.82
396,Willow Result,Pet Supplies,Willow,6.95,2.63
1735,Astra West,Groceries,Astra,13.04,3.27
1862,Zenith Guess,Groceries,Zenith,27.91,4.68
14,Astra Anyone,Electronics,Astra,99.56,3.67
1108,Harbor Decade,Sports,Harbor,12.42,4.14
199,Zenith While,Groceries,Zenith,10.35,4.19
1688,Zenith Mr,Sports,Zenith,59.25,4.51
1913,NeoTech Information,Groceries,NeoTech,7.76,4.12
1740,Pulse Phone,Beauty,Pulse,184.9,3.14
1579,Willow Know,Automotive,Willow,124.87,3.25
1311,Zenith Argue,Toys,Zenith,46.89,3.49
852,Pulse Two,Automotive,Pulse,18.23,3.01
1185,Harbor Pick,Clothing,Harbor,21.74,3.28
1351,GreenLeaf Billion,Pet Supplies,GreenLeaf,40.72,3.4
351,Willow Event,Toys,Willow,84.8,3.52
853,Everest Cultural,Beauty,Everest,121.17,4.25
144,GreenLeaf Interview,Automotive,GreenLeaf,224.43,4.2
1040,Willow Court,Beauty,Willow,22.15,4.13
1581,Everest Skin,Automotive,Everest,225.32,3.65
1696,Astra Woman,Clothing,Astra,313.72,3.15
769,Orion Above,Electronics,Orion,775.52,3.71
1478,Astra Deal,Toys,Astra,109.35,2.53
834,Zenith Need,Electronics,Zenith,479.8,4.64
1104,Orion Vote,Toys,Orion,85.64,4.4
1943,Nimbus More,Groceries,Nimbus,30.26,3.29
1868,Nimbus Foot,Sports,Nimbus,299.8,4.4
1114,Pulse Start,Home & Kitchen,Pulse,85.79,3.53
1035,Zenith Different,Toys,Zenith,79.55,2.91
1812,Zenith Partner,Automotive,Zenith,713.74,4.37
393,Willow Behind,Beauty,Willow,79.35,2.51
850,GreenLeaf Mean,Clothing,GreenLeaf,60.83,4.88
1567,Zenith Myself,Sports,Zenith,77.3,4.31
656,Nimbus Sell,Sports,Nimbus,165.03,2.72
1500,Nimbus Agree,Automotive,Nimbus,746.51,4.75
378,Orion Foot,Books,Orion,9.11,3.21
427,NeoTech Pick,Pet Supplies,NeoTech,37.84,4.09
1428,Harbor Somebody,Pet Supplies,Harbor,43.57,3.92
416,Nimbus Only,Home & Kitchen,Nimbus,54.42,4.25
1637,Harbor Tax,Automotive,Harbor,529.06,3.78
1384,Pulse Few,Clothing,Pulse,15.03,4.77
511,Nimbus Should,Clothing,Nimbus,34.13,2.6
464,Orion Role,Clothing,Orion,44.1,4.33
1951,Willow Perform,Pet Supplies,Willow,44.57,3.5
143,Astra Pressure,Home & Kitchen,Astra,96.76,2.52
1387,Harbor Success,Sports,Harbor,20.14,4.45
1236,NeoTech Huge,Home & Kitchen,NeoTech,204.78,2.72
156,Harbor Difference,Books,Harbor,51.52,4.34
130,NeoTech Onto,Clothing,NeoTech,152.63,2.78
1086,GreenLeaf Course,Groceries,GreenLeaf,14.44,3.81
1699,Nimbus Hit,Electronics,Nimbus,494.84,4.57
446,GreenLeaf Opportunity,Clothing,GreenLeaf,68.43,3.24
116,Acme Stock,Home & Kitchen,Acme,128.31,2.95
1226,Willow Surface,Home & Kitchen,Willow,188.55,3.88
1563,Everest Else,Books,Everest,15.87,2.7
886,Pulse Sea,Automotive,Pulse,886.77,4.79
1932,NeoTech Although,Beauty,NeoTech,87.46,2.53
516,Nimbus Threat,Sports,Nimbus,253.68,4.64
479,Astra Hospital,Pet Supplies,Astra,92.17,3.78
1722,Everest Religious,Home & Kitchen,Everest,80.1,3.51
808,Astra Herself,Clothing,Astra,125.02,3.22
1959,Everest Television,Automotive,Everest,120.33,2.99
478,Zenith Within,Clothing,Zenith,199.79,2.66
1414,Astra Here,Beauty,Astra,223.69,2.81
1723,Everest To,Pet Supplies,Everest,101.97,3.5
553,Zenith Rate,Pet Supplies,Zenith,132.7,3.9
1641,NeoTech Purpose,Automotive,NeoTech,705.88,3.24
1429,Acme Blood,Groceries,Acme,17.5,3.04
208,Solace Move,Automotive,Solace,826.18,2.71
905,Solace Star,Toys,Solace,32.73,4.6
162,Orion Most,Clothing,Orion,151.39,3.99
1425,Everest Few,Groceries,Everest,11.44,2.9
112,Orion Surface,Sports,Orion,65.21,2.69
285,Solace Foot,Beauty,Solace,12.79,3.48
560,Everest End,Toys,Everest,16.86,2.9
975,Nimbus Market,Pet Supplies,Nimbus,19.41,4.48
949,Everest Drive,Toys,Everest,19.68,4.12
746,Pulse Bad,Toys,Pulse,71.01,2.83
1388,Harbor Look,Home & Kitchen,Harbor,164.35,4.44
164,Astra Town,Books,Astra,60.85,2.81
359,Zenith Citizen,Pet Supplies,Zenith,31.35,4.83
1131,NeoTech Better,Beauty,NeoTech,127.21,3.98
830,Orion Unit,Toys,Orion,72.45,4.25
1966,Astra These,Books,Astra,77.21,3.83
1047,Pulse But,Pet Supplies,Pulse,49.09,4.58
203,Everest Drop,Groceries,Everest,31.08,4.1
821,Acme Traditional,Clothing,Acme,166.22,4.44
165,Solace Difference,Electronics,Solace,295.27,3.85
1163,Everest Child,Home & Kitchen,Everest,103.97,3.81
542,Everest Rock,Clothing,Everest,36.54,3.77
1764,Willow Maintain,Pet Supplies,Willow,30.77,4.69
1565,Pulse Decision,Toys,Pulse,50.01,4.5
436,GreenLeaf Student,Books,GreenLeaf,29.24,4.49
1072,Harbor Foreign,Automotive,Harbor,68.33,4.17
1721,Everest Investment,Home & Kitchen,Everest,343.28,3.57
1106,Pulse Result,Electronics,Pulse,1071.83,4.22
418,GreenLeaf Later,Electronics,GreenLeaf,1413.41,3.87
169,Acme Production,Books,Acme,21.36,3.9
1855,Acme Practice,Automotive,Acme,503.43,3.16
1187,Zenith Turn,Groceries,Zenith,17.65,3.89
324,Harbor Visit,Toys,Harbor,60.11,3.2
4,Nimbus South,Electronics,Nimbus,541.41,4.14
614,Solace Car,Clothing,Solace,135.38,3.3
425,GreenLeaf Land,Home & Kitchen,GreenLeaf,126.93,2.85
107,GreenLeaf Throughout,Books,GreenLeaf,118.51,2.85
908,GreenLeaf A,Electronics,GreenLeaf,462.76,3.31
109,Everest Interesting,Clothing,Everest,188.18,4.31
1376,Harbor Few,Pet Supplies,Harbor,63.96,3.96
960,Acme South,Groceries,Acme,9.31,2.5
1144,GreenLeaf Know,Clothing,GreenLeaf,96.51,3.72
395,Harbor Opportunity,Books,Harbor,56.04,3.65
1323,GreenLeaf Analysis,Books,GreenLeaf,50.42,3.4
573,Harbor Those,Home & Kitchen,Harbor,72.45,2.69
1799,Astra Protect,Groceries,Astra,20.77,3.11
462,Harbor Who,Beauty,Harbor,142.59,3.41
911,Solace Bit,Books,Solace,72,4.19
1010,Willow Interesting,Toys,Willow,69.15,2.83
1594,Pulse Worker,Clothing,Pulse,83.76,4.16
308,Harbor Score,Electronics,Harbor,930.47,4.1
49,NeoTech Help,Home & Kitchen,NeoTech,12.72,4.6
1385,Willow We,Automotive,Willow,710.57,4.02
1559,Nimbus Bar,Books,Nimbus,42.48,3.87
524,Everest Station,Toys,Everest,71.29,4.08
669,Acme Personal,Toys,Acme,36.42,4.88
11,GreenLeaf They,Pet Supplies,GreenLeaf,2.99,2.77
755,Nimbus Affect,Books,Nimbus,39.34,3.69
989,GreenLeaf Single,Groceries,GreenLeaf,16.74,3.1
655,Astra Strong,Beauty,Astra,195.39,2.99
814,Solace Song,Electronics,Solace,680.15,4.11
823,Harbor Today,Clothing,Harbor,247.47,4.21
1879,NeoTech These,Groceries,NeoTech,18.51,4.81
8,Everest Friend,Clothing,Everest,33.86,2.93
1681,Astra Compare,Books,Astra,6.08,2.81
1432,Nimbus Camera,Automotive,Nimbus,344.62,3.97
1077,Zenith Large,Clothing,Zenith,114.4,2.88
262,Astra Hear,Home & Kitchen,Astra,186.4,3.66
1983,Willow Message,Home & Kitchen,Willow,11.12,3.89
1741,Solace Sound,Electronics,Solace,957.88,2.72
831,Zenith Strong,Pet Supplies,Zenith,24.43,3.21
1978,Willow Imagine,Home & Kitchen,Willow,317.34,3.25
876,Acme Effort,Groceries,Acme,20.23,2.85
1176,Orion Increase,Electronics,Orion,610.48,3.45
1347,Astra Family,Clothing,Astra,94.95,3.24
232,Solace Interview,Home & Kitchen,Solace,180.7,4.25
44,NeoTech Possible,Toys,NeoTech,53.51,2.7
1059,Harbor Third,Beauty,Harbor,64.95,3.38
1690,Solace Professional,Sports,Solace,257.99,4.19
1051,Nimbus Tonight,Electronics,Nimbus,472.13,2.61
1172,NeoTech Attack,Home & Kitchen,NeoTech,179.46,3.63
1242,Astra Collection,Clothing,Astra,99.47,3.84
334,Pulse Something,Pet Supplies,Pulse,84.07,4.19
913,Orion Sign,Toys,Orion,32.13,4.09
1054,Orion Rate,Groceries,Orion,24.61,4.77
1367,Orion Theory,Sports,Orion,283.47,3.44
519,Pulse Money,Electronics,Pulse,769.71,4.07
197,Astra Brother,Pet Supplies,Astra,20.84,4.47
1107,Zenith Fly,Pet Supplies,Zenith,13.03,4.78
493,Pulse Manage,Beauty,Pulse,113.45,2.53
88,Everest As,Clothing,Everest,78.11,4.29
391,Nimbus Establish,Home & Kitchen,Nimbus,74.41,2.87
